<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
< [a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4} >	EMAIL	2
((([a-za-z]{3,9}:(?:\\?\/\\?\/)?)(?:[-;:&=\+\$,\w]+@)?[a-za-z0-9.-]+|(?:www.|[-;:&=\+\$,\w]+@)[a-za-z0-9.-]+)(?::[0-9]+)?((?:\\?\/[\+~%\\?\/.\w_-]*)?\??(?:[-\+=&;%@.\w_]*)#?(?:[.\!\\?\/\\w]*))?)	URL	1
.*\.(ca|gov|com|edu|net|org|uk|us)	URL	1
battery-charger	TITLE	MISC	1
conveyor line battery charger	TITLE	MISC	1
conveyor-line-battery-charger	TITLE	MISC	1
battery inspector	TITLE	MISC	1
battery-inspector	TITLE	MISC	1
battery loader	TITLE	MISC	1
battery-loader	TITLE	MISC	1
large emergency storage battery maintainer	TITLE	MISC	1
large-emergency-storage-battery-maintainer	TITLE	MISC	1
battery recharger	TITLE	MISC	1
battery-recharger	TITLE	MISC	1
battery repairer	TITLE	MISC	1
battery-repairer	TITLE	MISC	1
battery stacker	TITLE	MISC	1
battery-stacker	TITLE	MISC	1
battery tester	TITLE	MISC	1
battery-tester	TITLE	MISC	1
battery-charger tester	TITLE	MISC	1
battery charger tester	TITLE	MISC	1
battery-charger-tester	TITLE	MISC	1
battery-container-finishing hand	TITLE	MISC	1
battery container finishing hand	TITLE	MISC	1
battery-container-finishing-hand	TITLE	MISC	1
battery-parts assembler	TITLE	MISC	1
battery parts assembler	TITLE	MISC	1
battery-parts-assembler	TITLE	MISC	1
battery-wrecker operator	TITLE	MISC	1
battery wrecker operator	TITLE	MISC	1
battery-wrecker-operator	TITLE	MISC	1
batting-machine operator	TITLE	MISC	1
batting machine operator	TITLE	MISC	1
batting-machine-operator	TITLE	MISC	1
insulation batting-machine operator	TITLE	MISC	1
insulation batting machine operator	TITLE	MISC	1
insulation-batting-machine-operator	TITLE	MISC	1
bb shot packer	TITLE	MISC	1
bb-shot-packer	TITLE	MISC	1
beach lifeguard	TITLE	MISC	1
beach-lifeguard	TITLE	MISC	1
bead builder	TITLE	MISC	1
bead-builder	TITLE	MISC	1
bead inspector	TITLE	MISC	1
bead-inspector	TITLE	MISC	1
bead maker	TITLE	MISC	1
bead-maker	TITLE	MISC	1
bead picker	TITLE	MISC	1
bead-picker	TITLE	MISC	1
bead preparer	TITLE	MISC	1
bead-preparer	TITLE	MISC	1
bead stringer	TITLE	MISC	1
bead-stringer	TITLE	MISC	1
beader	TITLE	MISC	1
bead-forming-machine operator	TITLE	MISC	1
bead forming machine operator	TITLE	MISC	1
bead-forming-machine-operator	TITLE	MISC	1
beading sawyer	TITLE	MISC	1
beading-sawyer	TITLE	MISC	1
bead-machine operator	TITLE	MISC	1
bead machine operator	TITLE	MISC	1
bead-machine-operator	TITLE	MISC	1
beadworker	TITLE	MISC	1
beam racker	TITLE	MISC	1
beam-racker	TITLE	MISC	1
beam-dyer operator	TITLE	MISC	1
beam dyer operator	TITLE	MISC	1
beam-dyer-operator	TITLE	MISC	1
beamer	TITLE	MISC	1
beamer helper	TITLE	MISC	1
beamer-helper	TITLE	MISC	1
beaming inspector	TITLE	MISC	1
beaming-inspector	TITLE	MISC	1
automatic beam-warper tender	TITLE	MISC	1
automatic beam warper tender	TITLE	MISC	1
automatic-beam-warper-tender	TITLE	MISC	1
bearing-ring assembler	TITLE	MISC	1
bearing ring assembler	TITLE	MISC	1
bearing-ring-assembler	TITLE	MISC	1
beater engineer	TITLE	MISC	1
beater-engineer	TITLE	MISC	1
beater operator	TITLE	MISC	1
beater-operator	TITLE	MISC	1
beater-and-pulper feeder	TITLE	MISC	1
beater and pulper feeder	TITLE	MISC	1
beater-and-pulper-feeder	TITLE	MISC	1
beater-engineer helper	TITLE	MISC	1
beater engineer helper	TITLE	MISC	1
beater-engineer-helper	TITLE	MISC	1
bed laster	TITLE	MISC	1
bed-laster	TITLE	MISC	1
bed operator	TITLE	MISC	1
bed-operator	TITLE	MISC	1
bed rubber	TITLE	MISC	1
bed-rubber	TITLE	MISC	1
bed setter	TITLE	MISC	1
bed-setter	TITLE	MISC	1
bedder	TITLE	MISC	1
bee worker	TITLE	MISC	1
bee-worker	TITLE	MISC	1
beekeeper	TITLE	MISC	1
bell captain	TITLE	MISC	1
bell-captain	TITLE	MISC	1
bell maker	TITLE	MISC	1
bell-maker	TITLE	MISC	1
bell spinner	TITLE	MISC	1
bell-spinner	TITLE	MISC	1
bellhop	TITLE	MISC	1
bell-neck hammerer	TITLE	MISC	1
bell neck hammerer	TITLE	MISC	1
bell-neck-hammerer	TITLE	MISC	1
bellows assembler	TITLE	MISC	1
bellows-assembler	TITLE	MISC	1
bellows filler	TITLE	MISC	1
bellows-filler	TITLE	MISC	1
bellows maker	TITLE	MISC	1
bellows-maker	TITLE	MISC	1
bellows tester	TITLE	MISC	1
bellows-tester	TITLE	MISC	1
belly builder	TITLE	MISC	1
belly-builder	TITLE	MISC	1
belt builder	TITLE	MISC	1
belt-builder	TITLE	MISC	1
belt maker	TITLE	MISC	1
belt-maker	TITLE	MISC	1
belt picker	TITLE	MISC	1
belt-picker	TITLE	MISC	1
belt repairer	TITLE	MISC	1
belt-repairer	TITLE	MISC	1
stone belt sander	TITLE	MISC	1
stone-belt-sander	TITLE	MISC	1
belt-builder helper	TITLE	MISC	1
belt builder helper	TITLE	MISC	1
belt-builder-helper	TITLE	MISC	1
belting-and-webbing inspector	TITLE	MISC	1
belting and webbing inspector	TITLE	MISC	1
belting-and-webbing-inspector	TITLE	MISC	1
belt-maker helper	TITLE	MISC	1
belt maker helper	TITLE	MISC	1
belt-maker-helper	TITLE	MISC	1
belt-press operator i	TITLE	MISC	1
belt press operator i	TITLE	MISC	1
belt-press-operator-i	TITLE	MISC	1
belt-press operator ii	TITLE	MISC	1
belt press operator ii	TITLE	MISC	1
belt-press-operator-ii	TITLE	MISC	1
bench assembler	TITLE	MISC	1
bench-assembler	TITLE	MISC	1
bench carpenter	TITLE	MISC	1
bench-carpenter	TITLE	MISC	1
bench grinder	TITLE	MISC	1
bench-grinder	TITLE	MISC	1
bench hand	TITLE	MISC	1
bench-hand	TITLE	MISC	1
bench hand	TITLE	MISC	1
bench-hand	TITLE	MISC	1
bench hand	TITLE	MISC	1
bench-hand	TITLE	MISC	1
bench hand	TITLE	MISC	1
bench-hand	TITLE	MISC	1
bench hand	TITLE	MISC	1
bench-hand	TITLE	MISC	1
bench worker	TITLE	MISC	1
bench-worker	TITLE	MISC	1
bench worker	TITLE	MISC	1
bench-worker	TITLE	MISC	1
binding bench worker	TITLE	MISC	1
binding-bench-worker	TITLE	MISC	1
hollow handle bench worker	TITLE	MISC	1
hollow-handle-bench-worker	TITLE	MISC	1
bench-molder apprentice	TITLE	MISC	1
bench molder apprentice	TITLE	MISC	1
bench-molder-apprentice	TITLE	MISC	1
bench-shear operator	TITLE	MISC	1
bench shear operator	TITLE	MISC	1
bench-shear-operator	TITLE	MISC	1
ben-day artist	TITLE	MISC	1
ben day artist	TITLE	MISC	1
ben-day-artist	TITLE	MISC	1
hand bender	TITLE	MISC	1
hand-bender	TITLE	MISC	1
machine bender	TITLE	MISC	1
machine-bender	TITLE	MISC	1
machine bender	TITLE	MISC	1
machine-bender	TITLE	MISC	1
bending-machine operator i	TITLE	MISC	1
bending machine operator i	TITLE	MISC	1
bending-machine-operator-i	TITLE	MISC	1
bending-machine operator ii	TITLE	MISC	1
bending machine operator ii	TITLE	MISC	1
bending-machine-operator-ii	TITLE	MISC	1
benefits clerk ii	TITLE	MISC	1
benefits-clerk-ii	TITLE	MISC	1
benzene-washer operator	TITLE	MISC	1
benzene washer operator	TITLE	MISC	1
benzene-washer-operator	TITLE	MISC	1
bevel polisher	TITLE	MISC	1
bevel-polisher	TITLE	MISC	1
beveler	TITLE	MISC	1
beveler	TITLE	MISC	1
beveler	TITLE	MISC	1
beveler	TITLE	MISC	1
beveler	TITLE	MISC	1
printed circuit boards beveler	TITLE	MISC	1
printed-circuit-boards-beveler	TITLE	MISC	1
beveling-and-edging-machine operator	TITLE	MISC	1
beveling and edging machine operator	TITLE	MISC	1
beveling-and-edging-machine-operator	TITLE	MISC	1
beveling-and-edging-machine-operator helper	TITLE	MISC	1
beveling and edging machine operator helper	TITLE	MISC	1
beveling-and-edging-machine-operator-helper	TITLE	MISC	1
beveling-machine operator	TITLE	MISC	1
beveling machine operator	TITLE	MISC	1
beveling-machine-operator	TITLE	MISC	1
bias-cutting-machine operator	TITLE	MISC	1
bias cutting machine operator	TITLE	MISC	1
bias-cutting-machine-operator	TITLE	MISC	1
bias-machine operator	TITLE	MISC	1
bias machine operator	TITLE	MISC	1
bias-machine-operator	TITLE	MISC	1
bias-machine-operator helper	TITLE	MISC	1
bias machine operator helper	TITLE	MISC	1
bias-machine-operator-helper	TITLE	MISC	1
bibliographer	TITLE	MISC	1
bicycle repairer	TITLE	MISC	1
bicycle-repairer	TITLE	MISC	1
bicycle-rental clerk	TITLE	MISC	1
bicycle rental clerk	TITLE	MISC	1
bicycle-rental-clerk	TITLE	MISC	1
billet assembler	TITLE	MISC	1
billet-assembler	TITLE	MISC	1
billing clerk	TITLE	MISC	1
billing-clerk	TITLE	MISC	1
billing typist	TITLE	MISC	1
billing-typist	TITLE	MISC	1
billing-control clerk	TITLE	MISC	1
billing control clerk	TITLE	MISC	1
billing-control-clerk	TITLE	MISC	1
billing-machine operator	TITLE	MISC	1
billing machine operator	TITLE	MISC	1
billing-machine-operator	TITLE	MISC	1
billposter	TITLE	MISC	1
billposter	TITLE	MISC	1
bin cleaner	TITLE	MISC	1
bin-cleaner	TITLE	MISC	1
bin filler	TITLE	MISC	1
bin-filler	TITLE	MISC	1
bin tripper operator	TITLE	MISC	1
bin-tripper-operator	TITLE	MISC	1
binder	TITLE	MISC	1
binder and box builder	TITLE	MISC	1
binder-and-box-builder	TITLE	MISC	1
hand binder cutter	TITLE	MISC	1
hand-binder-cutter	TITLE	MISC	1
binder layer	TITLE	MISC	1
binder-layer	TITLE	MISC	1
binder selector	TITLE	MISC	1
binder-selector	TITLE	MISC	1
binder technician	TITLE	MISC	1
binder-technician	TITLE	MISC	1
chainstitch binder	TITLE	MISC	1
chainstitch-binder	TITLE	MISC	1
coverstitch binder	TITLE	MISC	1
coverstitch-binder	TITLE	MISC	1
lockstitch binder	TITLE	MISC	1
lockstitch-binder	TITLE	MISC	1
binder-and-wrapper packer	TITLE	MISC	1
binder and wrapper packer	TITLE	MISC	1
binder-and-wrapper-packer	TITLE	MISC	1
bindery worker	TITLE	MISC	1
bindery-worker	TITLE	MISC	1
bindery worker	TITLE	MISC	1
bindery-worker	TITLE	MISC	1
bindery-machine feeder-offbearer	TITLE	MISC	1
bindery machine feeder offbearer	TITLE	MISC	1
bindery-machine-feeder-offbearer	TITLE	MISC	1
bindery-machine setter	TITLE	MISC	1
bindery machine setter	TITLE	MISC	1
bindery-machine-setter	TITLE	MISC	1
synthetic cloth binding cutter	TITLE	MISC	1
synthetic-cloth-binding-cutter	TITLE	MISC	1
machine binding folder	TITLE	MISC	1
machine-binding-folder	TITLE	MISC	1
binding printer	TITLE	MISC	1
binding-printer	TITLE	MISC	1
biochemist	TITLE	MISC	1
biochemistry technologist	TITLE	MISC	1
biochemistry-technologist	TITLE	MISC	1
biographer	TITLE	MISC	1
biological aide	TITLE	MISC	1
biological-aide	TITLE	MISC	1
biological photographer	TITLE	MISC	1
biological-photographer	TITLE	MISC	1
biologist	TITLE	MISC	1
biology specimen technician	TITLE	MISC	1
biology-specimen-technician	TITLE	MISC	1
biomedical engineer	TITLE	MISC	1
biomedical-engineer	TITLE	MISC	1
biomedical equipment technician	TITLE	MISC	1
biomedical-equipment-technician	TITLE	MISC	1
biophysicist	TITLE	MISC	1
bird-cage assembler	TITLE	MISC	1
bird cage assembler	TITLE	MISC	1
bird-cage-assembler	TITLE	MISC	1
birth attendant	TITLE	MISC	1
birth-attendant	TITLE	MISC	1
bisque cleaner	TITLE	MISC	1
bisque-cleaner	TITLE	MISC	1
bisque grader	TITLE	MISC	1
bisque-grader	TITLE	MISC	1
bit bender	TITLE	MISC	1
bit-bender	TITLE	MISC	1
bit sharpener	TITLE	MISC	1
bit-sharpener	TITLE	MISC	1
bit shaver	TITLE	MISC	1
bit-shaver	TITLE	MISC	1
bite-block maker	TITLE	MISC	1
bite block maker	TITLE	MISC	1
bite-block-maker	TITLE	MISC	1
bit-sharpener operator	TITLE	MISC	1
bit sharpener operator	TITLE	MISC	1
bit-sharpener-operator	TITLE	MISC	1
black oxide coating equipment tender	TITLE	MISC	1
black-oxide-coating-equipment-tender	TITLE	MISC	1
black-ash-burner operator	TITLE	MISC	1
black ash burner operator	TITLE	MISC	1
black-ash-burner-operator	TITLE	MISC	1
black-mill operator	TITLE	MISC	1
black mill operator	TITLE	MISC	1
black-mill-operator	TITLE	MISC	1
blacksmith	TITLE	MISC	1
blacksmith apprentice	TITLE	MISC	1
blacksmith-apprentice	TITLE	MISC	1
blacksmith helper	TITLE	MISC	1
blacksmith-helper	TITLE	MISC	1
blade balancer	TITLE	MISC	1
blade-balancer	TITLE	MISC	1
blade groover	TITLE	MISC	1
blade-groover	TITLE	MISC	1
blanching-machine operator	TITLE	MISC	1
blanching machine operator	TITLE	MISC	1
blanching-machine-operator	TITLE	MISC	1
blanket washer	TITLE	MISC	1
blanket-washer	TITLE	MISC	1
blanket-cutting-machine operator	TITLE	MISC	1
blanket cutting machine operator	TITLE	MISC	1
blanket-cutting-machine-operator	TITLE	MISC	1
blanket-winder helper	TITLE	MISC	1
blanket winder helper	TITLE	MISC	1
blanket-winder-helper	TITLE	MISC	1
blanket-winder operator	TITLE	MISC	1
blanket winder operator	TITLE	MISC	1
blanket-winder-operator	TITLE	MISC	1
blankmaker	TITLE	MISC	1
blaster	TITLE	MISC	1
blaster	TITLE	MISC	1
blaster helper	TITLE	MISC	1
blaster-helper	TITLE	MISC	1
blast-furnace keeper	TITLE	MISC	1
blast furnace keeper	TITLE	MISC	1
blast-furnace-keeper	TITLE	MISC	1
blast-furnace-keeper helper	TITLE	MISC	1
blast furnace keeper helper	TITLE	MISC	1
blast-furnace-keeper-helper	TITLE	MISC	1
blasting-cap assembler	TITLE	MISC	1
blasting cap assembler	TITLE	MISC	1
blasting-cap-assembler	TITLE	MISC	1
bleach packer	TITLE	MISC	1
bleach-packer	TITLE	MISC	1
bleach-boiler filler	TITLE	MISC	1
bleach boiler filler	TITLE	MISC	1
bleach-boiler-filler	TITLE	MISC	1
bleacher operator	TITLE	MISC	1
bleacher-operator	TITLE	MISC	1
lard bleacher	TITLE	MISC	1
lard-bleacher	TITLE	MISC	1
pulp bleacher	TITLE	MISC	1
pulp-bleacher	TITLE	MISC	1
bleach-liquor maker	TITLE	MISC	1
bleach liquor maker	TITLE	MISC	1
bleach-liquor-maker	TITLE	MISC	1
bleach-range operator	TITLE	MISC	1
bleach range operator	TITLE	MISC	1
bleach-range-operator	TITLE	MISC	1
blemish remover	TITLE	MISC	1
blemish-remover	TITLE	MISC	1
blender helper	TITLE	MISC	1
blender-helper	TITLE	MISC	1
blender i	TITLE	MISC	1
blender-i	TITLE	MISC	1
blender ii	TITLE	MISC	1
blender-ii	TITLE	MISC	1
blender laborer	TITLE	MISC	1
blender-laborer	TITLE	MISC	1
snuff blender	TITLE	MISC	1
snuff-blender	TITLE	MISC	1
blender-conveyor operator	TITLE	MISC	1
blender conveyor operator	TITLE	MISC	1
blender-conveyor-operator	TITLE	MISC	1
blender-machine operator	TITLE	MISC	1
blender machine operator	TITLE	MISC	1
blender-machine-operator	TITLE	MISC	1
blending supervisor	TITLE	MISC	1
blending-supervisor	TITLE	MISC	1
blending supervisor	TITLE	MISC	1
blending-supervisor	TITLE	MISC	1
blending-line attendant	TITLE	MISC	1
blending line attendant	TITLE	MISC	1
blending-line-attendant	TITLE	MISC	1
blending-machine operator	TITLE	MISC	1
blending machine operator	TITLE	MISC	1
blending-machine-operator	TITLE	MISC	1
blending-machine operator	TITLE	MISC	1
blending machine operator	TITLE	MISC	1
blending-machine-operator	TITLE	MISC	1
blending-plant operator	TITLE	MISC	1
blending plant operator	TITLE	MISC	1
blending-plant-operator	TITLE	MISC	1
blending-tank tender	TITLE	MISC	1
blending tank tender	TITLE	MISC	1
blending-tank-tender	TITLE	MISC	1
blending-tank tender helper	TITLE	MISC	1
blending tank tender helper	TITLE	MISC	1
blending-tank-tender-helper	TITLE	MISC	1
blind aide	TITLE	MISC	1
blind-aide	TITLE	MISC	1
blind-slat-stapling-machine operator	TITLE	MISC	1
blind slat stapling machine operator	TITLE	MISC	1
blind-slat-stapling-machine-operator	TITLE	MISC	1
blindstitch-machine operator	TITLE	MISC	1
blindstitch machine operator	TITLE	MISC	1
blindstitch-machine-operator	TITLE	MISC	1
blintze roller	TITLE	MISC	1
blintze-roller	TITLE	MISC	1
block feeder	TITLE	MISC	1
block-feeder	TITLE	MISC	1
block inspector	TITLE	MISC	1
block-inspector	TITLE	MISC	1
block maker	TITLE	MISC	1
block-maker	TITLE	MISC	1
block-breaker operator	TITLE	MISC	1
block breaker operator	TITLE	MISC	1
block-breaker-operator	TITLE	MISC	1
blocker	TITLE	MISC	1
blocker	TITLE	MISC	1
blocker	TITLE	MISC	1
blocker	TITLE	MISC	1
blocker	TITLE	MISC	1
contact lens blocker and cutter	TITLE	MISC	1
contact-lens-blocker-and-cutter	TITLE	MISC	1
gold wheel blocker and polisher	TITLE	MISC	1
gold-wheel-blocker-and-polisher	TITLE	MISC	1
blocker i	TITLE	MISC	1
blocker-i	TITLE	MISC	1
blocker ii	TITLE	MISC	1
blocker-ii	TITLE	MISC	1
automatic blocker	TITLE	MISC	1
automatic-blocker	TITLE	MISC	1
hand blocker	TITLE	MISC	1
hand-blocker	TITLE	MISC	1
hand i blocker	TITLE	MISC	1
hand-i-blocker	TITLE	MISC	1
hand ii blocker	TITLE	MISC	1
hand-ii-blocker	TITLE	MISC	1
metal base blocker	TITLE	MISC	1
metal-base-blocker	TITLE	MISC	1
blocking-machine tender	TITLE	MISC	1
blocking machine tender	TITLE	MISC	1
blocking-machine-tender	TITLE	MISC	1
block-making-machine operator	TITLE	MISC	1
block making machine operator	TITLE	MISC	1
block-making-machine-operator	TITLE	MISC	1
block-press operator	TITLE	MISC	1
block press operator	TITLE	MISC	1
block-press-operator	TITLE	MISC	1
block-splitter operator	TITLE	MISC	1
block splitter operator	TITLE	MISC	1
block-splitter-operator	TITLE	MISC	1
fowl blood tester	TITLE	MISC	1
fowl-blood-tester	TITLE	MISC	1
blood-donor recruiter	TITLE	MISC	1
blood donor recruiter	TITLE	MISC	1
blood-donor-recruiter	TITLE	MISC	1
blood-donor-unit assistant	TITLE	MISC	1
blood donor unit assistant	TITLE	MISC	1
blood-donor-unit-assistant	TITLE	MISC	1
blower and compressor assembler	TITLE	MISC	1
blower-and-compressor-assembler	TITLE	MISC	1
dyed raw stock blower feeder	TITLE	MISC	1
dyed-raw-stock-blower-feeder	TITLE	MISC	1
blower insulator	TITLE	MISC	1
blower-insulator	TITLE	MISC	1
blow-molding-machine operator	TITLE	MISC	1
blow molding machine operator	TITLE	MISC	1
blow-molding-machine-operator	TITLE	MISC	1
blow-molding-machine tender	TITLE	MISC	1
blow molding machine tender	TITLE	MISC	1
blow-molding-machine-tender	TITLE	MISC	1
blow-off worker	TITLE	MISC	1
blow off worker	TITLE	MISC	1
blow-off-worker	TITLE	MISC	1
blow-pit helper	TITLE	MISC	1
blow pit helper	TITLE	MISC	1
blow-pit-helper	TITLE	MISC	1
blow-pit operator	TITLE	MISC	1
blow pit operator	TITLE	MISC	1
blow-pit-operator	TITLE	MISC	1
blow-up operator	TITLE	MISC	1
blow up operator	TITLE	MISC	1
blow-up-operator	TITLE	MISC	1
blueprint trimmer	TITLE	MISC	1
blueprint-trimmer	TITLE	MISC	1
blueprinting-machine operator	TITLE	MISC	1
blueprinting machine operator	TITLE	MISC	1
blueprinting-machine-operator	TITLE	MISC	1
board attendant	TITLE	MISC	1
board-attendant	TITLE	MISC	1
boarding-machine operator	TITLE	MISC	1
boarding machine operator	TITLE	MISC	1
boarding-machine-operator	TITLE	MISC	1
board-liner operator	TITLE	MISC	1
board liner operator	TITLE	MISC	1
board-liner-operator	TITLE	MISC	1
board-machine set-up operator	TITLE	MISC	1
board machine set up operator	TITLE	MISC	1
board-machine-set-up-operator	TITLE	MISC	1
plastic boat buffer	TITLE	MISC	1
plastic-boat-buffer	TITLE	MISC	1
boat loader i	TITLE	MISC	1
boat-loader-i	TITLE	MISC	1
boat loader ii	TITLE	MISC	1
boat-loader-ii	TITLE	MISC	1
boat outfitter	TITLE	MISC	1
boat-outfitter	TITLE	MISC	1
plastic boat patcher	TITLE	MISC	1
plastic-boat-patcher	TITLE	MISC	1
boat repairer	TITLE	MISC	1
boat-repairer	TITLE	MISC	1
boat rigger	TITLE	MISC	1
boat-rigger	TITLE	MISC	1
wood boatbuilder apprentice	TITLE	MISC	1
wood-boatbuilder-apprentice	TITLE	MISC	1
wood boatbuilder	TITLE	MISC	1
wood-boatbuilder	TITLE	MISC	1
boat-canvas maker-installer	TITLE	MISC	1
boat canvas maker installer	TITLE	MISC	1
boat-canvas-maker-installer	TITLE	MISC	1
boat-hoist operator	TITLE	MISC	1
boat hoist operator	TITLE	MISC	1
boat-hoist-operator	TITLE	MISC	1
boat-hoist-operator helper	TITLE	MISC	1
boat hoist operator helper	TITLE	MISC	1
boat-hoist-operator-helper	TITLE	MISC	1
boat-loader helper	TITLE	MISC	1
boat loader helper	TITLE	MISC	1
boat-loader-helper	TITLE	MISC	1
boat-oar maker	TITLE	MISC	1
boat oar maker	TITLE	MISC	1
boat-oar-maker	TITLE	MISC	1
boat-rental clerk	TITLE	MISC	1
boat rental clerk	TITLE	MISC	1
boat-rental-clerk	TITLE	MISC	1
boatswain	TITLE	MISC	1
otter trawler boatswain	TITLE	MISC	1
otter-trawler-boatswain	TITLE	MISC	1
hand bobbin cleaner	TITLE	MISC	1
hand-bobbin-cleaner	TITLE	MISC	1
bobbin disker	TITLE	MISC	1
bobbin-disker	TITLE	MISC	1
bobbin inspector	TITLE	MISC	1
bobbin-inspector	TITLE	MISC	1
bobbin presser	TITLE	MISC	1
bobbin-presser	TITLE	MISC	1
bobbin sorter	TITLE	MISC	1
bobbin-sorter	TITLE	MISC	1
bobbin stripper	TITLE	MISC	1
bobbin-stripper	TITLE	MISC	1
machine bobbin winder	TITLE	MISC	1
machine-bobbin-winder	TITLE	MISC	1
machine bobbin winder	TITLE	MISC	1
machine-bobbin-winder	TITLE	MISC	1
sewing machine bobbin winder	TITLE	MISC	1
sewing-machine-bobbin-winder	TITLE	MISC	1
bobbin-cleaning-machine operator	TITLE	MISC	1
bobbin cleaning machine operator	TITLE	MISC	1
bobbin-cleaning-machine-operator	TITLE	MISC	1
bobbin-winder tender	TITLE	MISC	1
bobbin winder tender	TITLE	MISC	1
bobbin-winder-tender	TITLE	MISC	1
body wirer	TITLE	MISC	1
body-wirer	TITLE	MISC	1
bodyguard	TITLE	MISC	1
body-maker-machine setter	TITLE	MISC	1
body maker machine setter	TITLE	MISC	1
body-maker-machine-setter	TITLE	MISC	1
body-make-up artist	TITLE	MISC	1
body make up artist	TITLE	MISC	1
body-make-up-artist	TITLE	MISC	1
boiler	TITLE	MISC	1
boiler house inspector	TITLE	MISC	1
boiler-house-inspector	TITLE	MISC	1
boiler operator	TITLE	MISC	1
boiler-operator	TITLE	MISC	1
plastic block boiler reliner	TITLE	MISC	1
plastic-block-boiler-reliner	TITLE	MISC	1
boilerhouse mechanic	TITLE	MISC	1
boilerhouse-mechanic	TITLE	MISC	1
boilermaker apprentice	TITLE	MISC	1
boilermaker-apprentice	TITLE	MISC	1
boilermaker fitter	TITLE	MISC	1
boilermaker-fitter	TITLE	MISC	1
boilermaker helper i	TITLE	MISC	1
boilermaker-helper-i	TITLE	MISC	1
boilermaker helper ii	TITLE	MISC	1
boilermaker-helper-ii	TITLE	MISC	1
boilermaker i	TITLE	MISC	1
boilermaker-i	TITLE	MISC	1
boilermaker ii	TITLE	MISC	1
boilermaker-ii	TITLE	MISC	1
boiler-operator helper	TITLE	MISC	1
boiler operator helper	TITLE	MISC	1
boiler-operator-helper	TITLE	MISC	1
boiler-out	TITLE	MISC	1
boiler out	TITLE	MISC	1
boiler-room helper	TITLE	MISC	1
boiler room helper	TITLE	MISC	1
boiler-room-helper	TITLE	MISC	1
boiling-tub operator	TITLE	MISC	1
boiling tub operator	TITLE	MISC	1
boiling-tub-operator	TITLE	MISC	1
cloth boil-off-machine operator	TITLE	MISC	1
cloth boil off machine operator	TITLE	MISC	1
cloth-boil-off-machine-operator	TITLE	MISC	1
bolt loader	TITLE	MISC	1
bolt-loader	TITLE	MISC	1
bolter	TITLE	MISC	1
bolter	TITLE	MISC	1
bolter helper	TITLE	MISC	1
bolter-helper	TITLE	MISC	1
bomb loader	TITLE	MISC	1
bomb-loader	TITLE	MISC	1
bondactor-machine operator	TITLE	MISC	1
bondactor machine operator	TITLE	MISC	1
bondactor-machine-operator	TITLE	MISC	1
bonded structures repairer	TITLE	MISC	1
bonded-structures-repairer	TITLE	MISC	1
automobile brakes bonder	TITLE	MISC	1
automobile-brakes-bonder	TITLE	MISC	1
semiconductor bonder	TITLE	MISC	1
semiconductor-bonder	TITLE	MISC	1
bonding-machine setter	TITLE	MISC	1
bonding machine setter	TITLE	MISC	1
bonding-machine-setter	TITLE	MISC	1
bonding-machine tender	TITLE	MISC	1
bonding machine tender	TITLE	MISC	1
bonding-machine-tender	TITLE	MISC	1
bone crusher	TITLE	MISC	1
bone-crusher	TITLE	MISC	1
bone picker	TITLE	MISC	1
bone-picker	TITLE	MISC	1
bone picker	TITLE	MISC	1
bone-picker	TITLE	MISC	1
bone-char kiln operator	TITLE	MISC	1
bone char kiln operator	TITLE	MISC	1
bone-char-kiln-operator	TITLE	MISC	1
bone-char kiln tender	TITLE	MISC	1
bone char kiln tender	TITLE	MISC	1
bone-char-kiln-tender	TITLE	MISC	1
bone-char operator	TITLE	MISC	1
bone char operator	TITLE	MISC	1
bone-char-operator	TITLE	MISC	1
bone-cooking operator	TITLE	MISC	1
bone cooking operator	TITLE	MISC	1
bone-cooking-operator	TITLE	MISC	1
bone-drier operator	TITLE	MISC	1
bone drier operator	TITLE	MISC	1
bone-drier-operator	TITLE	MISC	1
bone-process operator	TITLE	MISC	1
bone process operator	TITLE	MISC	1
bone-process-operator	TITLE	MISC	1
boner	TITLE	MISC	1
meat boner	TITLE	MISC	1
meat-boner	TITLE	MISC	1
bonsai culturist	TITLE	MISC	1
bonsai-culturist	TITLE	MISC	1
book repairer	TITLE	MISC	1
book-repairer	TITLE	MISC	1
book trimmer	TITLE	MISC	1
book-trimmer	TITLE	MISC	1
bookbinder	TITLE	MISC	1
bookbinder apprentice	TITLE	MISC	1
bookbinder-apprentice	TITLE	MISC	1
booker	TITLE	MISC	1
booking clerk	TITLE	MISC	1
booking-clerk	TITLE	MISC	1
booking clerk	TITLE	MISC	1
booking-clerk	TITLE	MISC	1
booking prizer	TITLE	MISC	1
booking-prizer	TITLE	MISC	1
booking supervisor	TITLE	MISC	1
booking-supervisor	TITLE	MISC	1
book-jacket-cover-machine operator	TITLE	MISC	1
book jacket cover machine operator	TITLE	MISC	1
book-jacket-cover-machine-operator	TITLE	MISC	1
bookkeeper	TITLE	MISC	1
bookmobile driver	TITLE	MISC	1
bookmobile-driver	TITLE	MISC	1
bookmobile librarian	TITLE	MISC	1
bookmobile-librarian	TITLE	MISC	1
book-sewing-machine operator i	TITLE	MISC	1
book sewing machine operator i	TITLE	MISC	1
