O*NET-SOC Code	Reported Job Title	Shown in My Next Move
17-3011.02	Computer-Aided Design Technician (CAD Technician)	Y
17-3011.02	Computer-Aided Drafting and Design Drafter (CADD Drafter)	N
17-3011.02	Drafting Technician	N
17-3011.02	Draftsman	N
17-3011.02	Draftsperson	N
17-3012.01	Design Drafter	N
17-3012.01	Designer	Y
17-3012.01	Drafter	N
17-3012.01	Integrated Circuit IC Layout Designer (IC Layout Designer)	N
17-3012.01	Layout Designer	Y
17-3012.01	Mask Designer	N
17-3012.01	Printed Circuit Board PCB Designer (PCB Designer)	N
17-3012.01	Printed Circuit Board PCB Draftsman (PCB Draftsman)	N
17-3012.01	Senior Designer	Y
17-3012.01	Senior Printed Circuit Board PCB Designer	Y
17-3012.02	Associate Drafter	Y
17-3012.02	CAD Operator (Computer Aided Design Operator)	N
17-3012.02	CAD Technician (Computer Aided Drafting Technician)	N
17-3012.02	Drafter	Y
17-3012.02	Electrical Designer	Y
17-3012.02	Electrical Drafter	N
17-3012.02	Engineering Agent	N
17-3012.02	Engineering Associate	Y
17-3012.02	Line Staker	N
17-3012.02	Staking Engineer	N
17-3013.00	CAD Designer (Computer Aided Design Designer)	N
17-3013.00	CAD Operator (Computer Aided Design Operator)	N
17-3013.00	CAD/CAM Specialist (Computer Aided Design/Computer Aided Manufacturing Specialist)	N
17-3013.00	Design Drafter	Y
17-3013.00	Designer	Y
17-3013.00	Drafter	Y
17-3013.00	Installation Drafter	N
17-3013.00	Mechanical Designer	N
17-3013.00	Mechanical Drafter	Y
17-3013.00	Project Designer	N
17-3021.00	Avionics Technician	Y
17-3021.00	Avionics Test Technician	N
17-3021.00	Calibration Technician	N
17-3021.00	Communication Technician	N
17-3021.00	Electronics Technician	Y
17-3021.00	Engineering Technician	N
17-3021.00	Instrumentation Technician	Y
17-3021.00	Spacecraft Systems Engineer	Y
17-3021.00	Systems Test Technician	N
17-3021.00	Test Technician	N
17-3022.00	Civil Designer	N
17-3022.00	Civil Engineering Assistant	N
17-3022.00	Civil Engineering Designer	Y
17-3022.00	Civil Engineering Technician	Y
17-3022.00	Construction Analyst	N
17-3022.00	Design Technician	N
17-3022.00	Engineering Assistant	Y
17-3022.00	Engineering Specialist	N
17-3022.00	Engineering Technician	Y
17-3022.00	Transportation Engineering Technician	N
17-3023.01	Digital Tech (Digital Technician)	Y
17-3023.01	Electrical Technician	N
17-3023.01	Electronics Engineering Technician	Y
17-3023.01	Electronics Technician	Y
17-3023.01	Engineering Technician (Engineering Tech)	Y
17-3023.01	Failure Analysis Technician (FA Technician)	N
17-3023.01	Refurbish Technician (Refurb Tech)	N
17-3023.01	Senior Electronics Technician	N
17-3023.01	Technician	N
17-3023.01	Test Technician	N
17-3023.03	Electrical Engineering Technician	N
17-3023.03	Electrical Technician	Y
17-3023.03	Engineering Assistant	N
17-3023.03	Engineering Technician	Y
17-3023.03	Generation Technician	Y
17-3023.03	Instrument and Controls Technician (I & C Technician)	N
17-3023.03	Relay Tester	N
17-3023.03	Results Technician	N
17-3023.03	Test Specialist	N
17-3023.03	Test Technician	Y
17-3024.00	Electro-Mechanic	Y
17-3024.00	Electro-Mechanical Technician (E/M Technician)	Y
17-3024.00	Electronic Technician	Y
17-3024.00	Engineering Technician	Y
17-3024.00	Laboratory Technician (Lab Technician)	N
17-3024.00	Maintenance Technician	N
17-3024.00	Mechanical Technician	N
17-3024.00	Product Test Specialist	N
17-3024.00	Test Technician	N
17-3024.00	Tester	N
17-3024.01	Automation Technician	Y
17-3024.01	Electrical and Instrumentation Technician (E and I Technician)	N
17-3024.01	Electronics Technician	N
17-3024.01	Field Service Technician	Y
17-3024.01	Instrument Specialist	Y
17-3024.01	Instrumentation Technician	Y
17-3025.00	Air Quality Instrument Specialist	Y
17-3025.00	Engineer Technician	N
17-3025.00	Environmental Engineering Assistant	N
17-3025.00	Environmental Engineering Technician	N
17-3025.00	Environmental Field Technician	N
17-3025.00	Environmental Specialist	Y
17-3025.00	Environmental Technician	Y
17-3025.00	Haz Tech (Hazardous Technician)	Y
17-3025.00	Industrial Waste Inspector	N
17-3025.00	Senior Environmental Technician	N
17-3026.00	Engineering Technician	Y
17-3026.00	Industrial Engineering Analyst	N
17-3026.00	Industrial Engineering Technician	Y
17-3026.00	Manufacturing Technician	Y
17-3026.00	Methods Engineer	N
17-3026.00	Process Documentation and Methods Analyst	N
17-3026.00	Process Engineer	N
17-3026.00	Process Technician	N
17-3026.00	Production Staff Worker	N
17-3026.00	Quality Control Engineering Technician (QC Engineering Technician)	Y
17-3027.00	Design Engineer	N
17-3027.00	Designer	N
17-3027.00	Engineering Lab Technician	Y
17-3027.00	Engineering Technical Analyst	N
17-3027.00	Engineering Technician	Y
17-3027.00	Equipment Engineer	N
17-3027.00	Lab Technician	N
17-3027.00	Mechanical Designer	Y
17-3027.00	Process Technician	N
17-3027.00	Research and Development Technician	Y
17-3029.01	Non-Destructive Testing Services Director	N
17-3029.01	Non-Destructive Testing Specialist	Y
17-3029.01	Non-Destructive Testing Supervisor	N
17-3029.01	Non-Destructive Testing Technician	Y
17-3029.01	Quality Engineer	Y
17-3029.01	Quality Manager	Y
17-3029.02	Design Tech	Y
17-3029.02	Electrical Tech/Project Manager	N
17-3029.02	Engineering Tech	Y
17-3029.02	Engineering Technologist	Y
17-3029.02	Senior Analysis Specialist	N
17-3029.02	Senior Engineering Tech	N
17-3029.02	Senior Process Control Tech	N
17-3029.02	Technologist	Y
17-3029.02	Technologist Electronic Design or Technical Director	N
17-3029.02	Technologist, Development	N
17-3029.03	Designer	Y
17-3029.03	Engineering Specialist	N
17-3029.03	Engineering Tech	Y
17-3029.03	Instrumentation and Electrical Preventive Maintenance Inspector IE PM Inspector	N
17-3029.03	Process Control Tech	Y
17-3029.03	R&D Lab Technician	N
17-3029.03	Senior Design Engineering Specialist	N
17-3029.03	Senior Designer	Y
17-3029.03	Senior Mechanical Designer	N
17-3029.03	Senior Tech Manufacturing Engineering	N
17-3029.04	Electronics Department Manager	Y
17-3029.04	Electronics Technology Department Chair	Y
17-3029.04	Electronics Technology Instructor	Y
17-3029.04	Professor	Y
17-3029.05	Associate Product Integrity Engineer	Y
17-3029.05	Head of Operation and Logistics	N
17-3029.05	Liaison Engineer	N
17-3029.05	Manager, Asset Management	N
17-3029.05	Materials Planner/Production Planner	Y
17-3029.05	Planner/Scheduler	Y
17-3029.05	Production Control Supervisor	N
17-3029.05	Quality Management Coordinator	N
17-3029.05	Quality Tech	N
17-3029.05	Senior Quality Methods Specialist	Y
17-3029.06	Business Process Analyst	Y
17-3029.06	Manufacturing Technology Analyst	Y
17-3029.06	Technical Fellow	Y
17-3029.06	Tool Design Engineer	Y
17-3029.07	CAD Designer (Computer Aided Design Designer)	Y
17-3029.07	Engineer Technical Staff	Y
17-3029.07	Engineering Tech	N
17-3029.07	Engineering Technologist	Y
17-3029.07	Mechanical Designer	Y
17-3029.07	Mechanical Designer/Wind-Chill Administrator	N
17-3029.07	Senior Designer	N
17-3029.07	Senior Process Analyst	N
17-3029.07	Technical Staff Engineer	N
17-3029.07	Tooling Engineering Tech	N
17-3029.08	Coating Manager	Y
17-3029.08	Engineering Technician (Engineering Tech)	Y
17-3029.08	Engineering Technologist	N
17-3029.08	Fiber Optics Technician	N
17-3029.08	Laser Technician	Y
17-3029.08	Lead Technician	N
17-3029.08	Optomechanical Technician	N
17-3029.08	Photonic Laboratory Technician (Photonic Lab Tech)	N
17-3029.08	Photonics Technician	Y
17-3029.08	Ruling Technician	N
17-3029.09	Research and Development Machinist	Y
17-3031.01	Chainman	N
17-3031.01	Engineering Assistant	N
17-3031.01	Engineering Technician	N
17-3031.01	Field Crew Chief	N
17-3031.01	Instrument Man (I-Man)	Y
17-3031.01	Instrument Operator	N
17-3031.01	Rodman	N
17-3031.01	Survey Crew Chief	Y
17-3031.01	Survey Party Chief	Y
17-3031.01	Survey Technician	Y
17-3031.02	Aerotriangulation Specialist	N
17-3031.02	CAD Technician (Computer Aided Design Technician)	N
17-3031.02	Geospatial Analyst	N
17-3031.02	Mapping Editor	N
17-3031.02	Mapping Technician	Y
17-3031.02	Photogrammetric Compilation Specialist	Y
17-3031.02	Photogrammetric Stereo Compiler	N
17-3031.02	Photogrammetric Technician	Y
17-3031.02	Stereoplotter Operator	Y
17-3031.02	Tax Map Technician	N
19-1011.00	Animal Management Systems Specialist	N
19-1011.00	Animal Nutrition Consultant	N
19-1011.00	Animal Nutritionist	Y
19-1011.00	Animal Science Section Leader	N
19-1011.00	Animal Scientist	Y
19-1011.00	Beef Cattle Nutritionist	N
19-1011.00	Beef Cattle Specialist	Y
19-1011.00	Beef Technical Services Manager	N
19-1011.00	Dairy Consultant	N
19-1011.00	Research and Development Director	Y
19-1012.00	Food Science Professor	N
19-1012.00	Food Scientist	Y
19-1012.00	Food Technologist	Y
19-1012.00	Product Development Manager	N
19-1012.00	Product Development Scientist	N
19-1012.00	Professor	Y
19-1012.00	Quality Assurance Manager (QA Manager)	Y
19-1012.00	Research and Development Director (R & D Director)	N
19-1012.00	Research and Development Manager (R & D Manager)	N
19-1012.00	Research Scientist	N
19-1013.00	Agronomist	Y
19-1013.00	Agronomy Research Manager	N
19-1013.00	Agronomy Specialist	N
19-1013.00	Crop Nutrition Scientist	Y
19-1013.00	Extension Specialist	N
19-1013.00	Microbiology Soil Scientist	N
19-1013.00	On-Site Soil Evaluator	N
19-1013.00	Research Soil Scientist	Y
19-1013.00	Soil Fertility Extension Specialist	N
19-1013.00	Soil Scientist	Y
19-1020.01	Aquatic Scientist	N
19-1020.01	Assistant Scientist	N
19-1020.01	Biologist	Y
19-1020.01	Environmental Analyst	Y
19-1020.01	Environmental Specialist	N
19-1020.01	Fisheries Biologist	N
19-1020.01	Marine Biologist	N
19-1020.01	Research Biologist	N
19-1020.01	Research Scientist	Y
19-1020.01	Scientist	Y
19-1021.00	Analytical Research Chemist	N
19-1021.00	Chief Scientific Officer	N
19-1021.00	Director of the Biophysics Facility	N
19-1021.00	Laboratory Director	N
19-1021.00	Professor of Physics/Researcher in Biophysics	N
19-1021.00	Research Assistant	Y
19-1021.00	Research Associate	Y
19-1021.00	Research Scientist	Y
19-1021.00	Scientist	Y
19-1022.00	Bacteriologist	Y
19-1022.00	Clinical Laboratory Scientist	Y
19-1022.00	Clinical Microbiologist	N
19-1022.00	Microbiological Analyst	Y
19-1022.00	Microbiological Laboratory Technician	N
19-1022.00	Microbiologist	Y
19-1022.00	Microbiology Laboratory Manager	N
19-1022.00	Professor of Microbiology	N
19-1022.00	Quality Control Microbiologist (QC Microbiologist)	N
19-1022.00	Study Director	N
19-1023.00	Aquatic Biologist	N
19-1023.00	Assistant Research Scientist	N
19-1023.00	Conservation Resources Management Biologist	N
19-1023.00	Environmental Specialist	N
19-1023.00	Fish and Wildlife Biologist	Y
19-1023.00	Fisheries Biologist	Y
19-1023.00	Fishery Biologist	N
19-1023.00	Wildlife Biologist	Y
19-1023.00	Wildlife Manager	N
19-1023.00	Zoologist	Y
19-1029.01	Bioinformaticist	Y
19-1029.01	Bioinformatics Scientist	Y
19-1029.01	Director of Bioinformatics and Trait Discovery	N
19-1029.01	Director of Translation and Experimental Medicine Bioinformatics	N
19-1029.01	Director, Informatics	N
19-1029.01	Research Scientist	Y
19-1029.01	Scientific Database Curator	N
19-1029.01	Scientific Informatics Project Leader	N
19-1029.01	Senior Research Associate	N
19-1029.01	Senior Scientist	Y
19-1029.02	Assistant Professor	Y
19-1029.02	Associate Professor	Y
19-1029.02	Biology Professor	Y
19-1029.02	Molecular Biology Professor	N
19-1029.02	Professor	Y
19-1029.03	Assistant Professor	Y
19-1029.03	Associate Professor	Y
19-1029.03	Associate Professor of Genetics	N
19-1029.03	Clinical Cytogenetics Director	N
19-1029.03	Clinical Molecular Genetics Laboratory Director	N
19-1029.03	Medical Genetics Director	N
19-1029.03	Professor	Y
19-1029.03	Research Scientist	Y
19-1031.01	Conservationist	Y
19-1031.01	Environmental Analyst	N
19-1031.01	Erosion Control Specialist	N
19-1031.01	Land Manager	N
19-1031.01	Land Reclamation Specialist	Y
19-1031.01	Land Resource Specialist	Y
19-1031.01	Resource Conservation Specialist	N
19-1031.01	Resource Conservationist	N
19-1031.01	Soil Conservationist	Y
19-1031.01	Watershed Program Manager	N
19-1031.02	Conservationist	N
19-1031.02	Grassland Conservationist	N
19-1031.02	Habitat Management Coordinator	N
19-1031.02	Land Management Supervisor	Y
19-1031.02	Natural Resource Manager	Y
19-1031.02	Natural Resource Specialist	Y
19-1031.02	Range Technician	N
19-1031.02	Rangeland Management Specialist	Y
19-1031.02	Resource Manager	N
19-1031.02	Wildlife Manager	N
19-1031.03	Education Specialist	N
19-1031.03	Environmental Education Specialist	Y
19-1031.03	Historical Interpreter	N
19-1031.03	Interpretive Naturalist	N
19-1031.03	Park Activities Coordinator	N
19-1031.03	Park Interpretive Specialist	Y
19-1031.03	Park Manager	N
19-1031.03	Park Naturalist	Y
19-1031.03	Park Ranger	Y
19-1031.03	Program Manager	N
19-1032.00	Area Forester	Y
19-1032.00	Chief Unit Forester	N
19-1032.00	Environmental Protection Forester	N
19-1032.00	Fire Prevention Forester	N
19-1032.00	Forest Practices Field Coordinator	Y
19-1032.00	Forester	Y
19-1032.00	Regional Forester	N
19-1032.00	Resource Forester	N
19-1032.00	Silviculturist	Y
19-1032.00	Urban Forester	N
19-1041.00	Chronic Disease Epidemiologist	N
19-1041.00	Communicable Disease Specialist	N
19-1041.00	Environmental Epidemiologist	N
19-1041.00	Epidemiologist	Y
19-1041.00	Epidemiologist Advanced	N
19-1041.00	Epidemiology Investigator	Y
19-1041.00	Infection Control Practitioner (ICP)	Y
19-1041.00	Nurse Epidemiologist	Y
19-1041.00	Research Epidemiologist	N
19-1041.00	State Epidemiologist	N
19-1042.00	Associate Director, Experimental Medicine	Y
19-1042.00	Clinical Laboratory Scientist	N
19-1042.00	Clinical Pharmacologist	N
19-1042.00	Investigator	Y
19-1042.00	Laboratory Director	N
19-1042.00	Post-Doctoral Fellow	N
19-1042.00	Research Scientist	Y
19-1042.00	Scientist	Y
19-1042.00	Senior Research Scientist	N
19-1042.00	Senior Scientist	N
19-2011.00	Assistant Professor	N
19-2011.00	Associate Professor	N
19-2011.00	Astronomer	Y
19-2011.00	Astronomy Professor	Y
19-2011.00	Astrophysicist	N
19-2011.00	Lunar and Planetary Institute Director	N
19-2011.00	Physics and Astronomy Professor	N
19-2011.00	Professor	Y
19-2011.00	Research Scientist	Y
19-2011.00	Scientist	N
19-2012.00	Biophysics Scientist	N
19-2012.00	Health Physicist	Y
19-2012.00	Physicist	Y
19-2012.00	Research Consultant	N
19-2012.00	Research Physicist	N
19-2012.00	Research Scientist	Y
19-2012.00	Scientist	Y
19-2021.00	Broadcast Meteorologist	Y
19-2021.00	Chief Meteorologist	N
19-2021.00	Forecaster	Y
19-2021.00	General Forecaster	Y
19-2021.00	Hydrometeorological Technician	N
19-2021.00	Meteorologist	Y
19-2021.00	Meteorologist-in-Charge	N
19-2021.00	Science and Operations Officer (SOO)	N
19-2021.00	Warning Coordination Meteorologist	N
19-2021.00	Weather Forecaster	N
19-2031.00	Air Quality Chemist	N
19-2031.00	Analytical Chemist	Y
19-2031.00	Chemical Laboratory Scientist	N
19-2031.00	Chemist	Y
19-2031.00	Forensic Chemist	N
19-2031.00	Forensic Scientist	Y
19-2031.00	Quality Control Chemist (QC Chemist)	N
19-2031.00	Research Chemist	Y
19-2031.00	Scientist	N
19-2031.00	Senior Chemist	N
19-2032.00	Materials Scientist	Y
19-2032.00	Micro Electrical/Mechanical Systems Device Scientist (MEMS Device Scientist)	Y
19-2032.00	Polymer Materials Consultant	N
19-2032.00	Research and Development Scientist (R and D Scientist)	N
19-2032.00	Research Scientist	Y
19-2032.00	Senior Materials Scientist	Y
19-2032.00	Staff Research Scientist	N
19-2032.00	Staff Scientist	N
19-2032.00	Technology Officer	N
19-2032.00	Vice President Research	N
19-2041.00	Environmental Analyst	N
19-2041.00	Environmental Health and Safety Specialist	N
19-2041.00	Environmental Programs Specialist	Y
19-2041.00	Environmental Protection Specialist	Y
19-2041.00	Environmental Scientist	Y
19-2041.00	Environmental Specialist	Y
19-2041.00	Hazardous Substances Scientist	N
19-2041.00	Registered Environmental Health Specialist (REHS)	N
19-2041.00	Research Environmental Scientist	N
19-2041.00	Senior Environmental Scientist	N
19-2041.01	Principal Scientist	N
19-2041.01	Research Associate, Policy	N
19-2041.01	Scientist	N
19-2041.01	Senior Advisor	N
19-2041.01	Senior Advocate	N
19-2041.01	Senior Associate, Climate and Energy Program	Y
19-2041.01	Senior Climate Advisor	Y
19-2041.01	Senior Policy Analyst	N
19-2041.01	Senior Policy Associate	Y
19-2041.01	Staff Climate Scientist	Y
19-2041.02	Coastal and Estuary Specialist	Y
19-2041.02	Director, Forest Restoration Institute	N
19-2041.02	Director, River Restoration	N
19-2041.02	Executive Director	Y
19-2041.02	Fish and Wildlife Biologist, Endangered Species Conservation and Recovery	N
19-2041.02	Fisheries Habitat Restoration Specialist	N
19-2041.02	Marine Habitat Resource Specialist	N
19-2041.02	Program Manager, Environmental Planning	N
19-2041.02	Project Manager	Y
19-2041.02	Watershed Coordinator	Y
19-2041.03	Ecologist	Y
19-2041.03	Environmental Consultant	N
19-2041.03	Environmental Programs Manager	N
19-2041.03	Environmental Protection Agency Counselor	N
19-2041.03	Environmental Services Director	N
19-2041.03	Environmental Sustainability Manager	N
19-2041.03	Research Environmental Engineer	Y
19-2041.03	Research Scientist	Y
19-2041.03	Researcher	Y
19-2042.00	Engineering Geologist	N
19-2042.00	Environmental Protection Geologist	N
19-2042.00	Exploration Geologist	N
19-2042.00	Geological Specialist	N
19-2042.00	Geologist	Y
19-2042.00	Geophysicist	Y
19-2042.00	Geoscientist	N
19-2042.00	Mine Geologist	Y
19-2042.00	Petroleum Geologist	N
19-2042.00	Project Geologist	Y
19-2043.00	Assistant Groundwater Engineer	N
19-2043.00	Environmental Consultant	N
19-2043.00	Groundwater Consultant	N
19-2043.00	Groundwater Programs Director	N
19-2043.00	Hydraulic Engineer	N
19-2043.00	Hydrogeologist	Y
19-2043.00	Hydrologic Engineer	N
19-2043.00	Hydrologist	Y
19-2043.00	Professor	Y
19-2043.00	Research Hydrologist	Y
19-2099.01	Geospatial Intelligence Analyst	Y
19-2099.01	Remote Sensing Analyst	Y
19-2099.01	Remote Sensing Program Manager	Y
19-2099.01	Remote Sensing Scientist	N
19-2099.01	Research Scientist	N
19-2099.01	Scientist	Y
19-2099.01	Sensor Specialist	N
19-3011.00	Economic Analysis Director	N
19-3011.00	Economic Analyst	Y
19-3011.00	Economic Consultant	N
19-3011.00	Economist	Y
19-3011.00	Forensic Economist	N
19-3011.00	Health Researcher	N
19-3011.00	Professor	Y
19-3011.00	Professor of Economics	Y
19-3011.00	Project Economist	N
19-3011.00	Research Analyst	N
19-3011.01	Economist	N
19-3011.01	Environmental Economist	Y
19-3011.01	Natural Resource Economist	Y
19-3011.01	Principal Associate	Y
19-3011.01	Principal Research Economist	Y
19-3011.01	Resource Economist	N
19-3011.01	Senior Economist	N
19-3022.00	Field Interviewer	Y
19-3022.00	Market Survey Representative	N
19-3022.00	Research Assistant	N
19-3022.00	Research Associate	Y
19-3022.00	Research Fellow	Y
19-3022.00	Research Interviewer	Y
19-3022.00	Research Methodologist	N
19-3022.00	Study Director	N
19-3022.00	Survey Director	N
19-3022.00	Telephone Interviewer	N
19-3031.01	Bilingual School Psychologist	N
19-3031.01	Child Study Team Director	N
19-3031.01	Consulting Psychologist	Y
19-3031.01	Early Intervention School Psychologist	Y
19-3031.01	Psychologist	Y
19-3031.01	School Psychologist	Y
19-3031.01	School Psychometrist	N
19-3031.02	Child Psychologist	N
19-3031.02	Clinical Director	N
19-3031.02	Clinical Psychologist	Y
19-3031.02	Clinical Therapist	N
19-3031.02	Forensic Psychologist	Y
19-3031.02	Licensed Clinical Psychologist	Y
19-3031.02	Licensed Psychologist	N
19-3031.02	Licensed Psychologist Manager	N
19-3031.02	Pediatric Psychologist	N
19-3031.02	Psychologist	Y
19-3031.03	Applied Behavior Science Specialist (ABSS)	N
19-3031.03	Chemical Dependency Therapist	N
19-3031.03	Counseling Psychologist	Y
19-3031.03	Counseling Services Director	N
19-3031.03	Counselor	Y
19-3031.03	Licensed Professional Counselor (LPC)	N
19-3031.03	Psychologist	Y
19-3031.03	Psychotherapist	Y
19-3031.03	Senior Staff Psychologist	N
19-3031.03	Staff Psychologist	N
19-3032.00	Assessment Services Manager	N
19-3032.00	Consultant	Y
19-3032.00	Consulting Psychologist	N
19-3032.00	Industrial Psychologist	Y
19-3032.00	Industrial/Organizational Psychologist (I/O Psychologist)	Y
19-3032.00	Management Consultant	N
19-3032.00	Organizational Consultant	N
19-3032.00	Organizational Development Consultant	N
19-3032.00	Organizational Psychologist	Y
19-3032.00	Research Scientist	N
19-3039.01	Clinical Neuropsychologist	Y
19-3039.01	Neuropsychologist	Y
19-3039.01	Neuropsychology Service Director	Y
19-3039.01	Pediatric Neuropsychologist	N
19-3039.01	Professor	Y
19-3041.00	Behavioral Scientist	Y
19-3041.00	Foundation Program Director	N
19-3041.00	International Health Director (Health Science Administration)	N
19-3041.00	Policy Analyst	N
19-3041.00	Research and Evaluation Manager	N
19-3041.00	Research Associate	Y
19-3041.00	Research Center Director	N
19-3041.00	Research Coordinator	N
19-3041.00	Research Scientist	Y
19-3041.00	Social Scientist	Y
19-3051.00	City Planner	N
19-3051.00	Community Development Director	N
19-3051.00	Community Development Planner	Y
19-3051.00	Housing Development Specialist	N
19-3051.00	Housing Grant Analyst	N
19-3051.00	Neighborhood Planner	N
19-3051.00	Planner	Y
19-3051.00	Planning Director	Y
19-3051.00	Regional Planner	N
19-3051.00	Urban Design Consultant	Y
19-3091.01	American Indian Policy Specialist	N
19-3091.01	Anthropologist	N
19-3091.01	Anthropology Instructor	N
19-3091.01	Applied Anthropologist	N
19-3091.01	Behavioral Scientist	N
19-3091.01	Medical Anthropology Director	N
19-3091.01	Professor	Y
19-3091.01	Professor of Anthropology	Y
19-3091.01	Researcher	Y
19-3091.01	Scientist	Y
19-3091.02	Archaeologist	Y
19-3091.02	Associate Director	Y
19-3091.02	Curator	Y
19-3091.02	Director of Research Center	N
19-3091.02	Principal Archaeologist	Y
19-3091.02	Project Director	N
19-3091.02	Research Archaeologist	N
19-3092.00	Earth Observations Chief Scientist (NASA)	Y
19-3092.00	Environmental Affairs Corporate Director	Y
19-3092.00	Environmental Scientist	N
19-3092.00	Geographic Information Systems Analyst (GIS Analyst)	Y
19-3092.00	Geographic Information Systems Program Director (GIS Program Director)	Y
19-3092.00	GIS Geographer (Geographic Information Systems Geographer)	N
19-3092.00	GIS Physical Scientist (Geographic Information Systems Physical Scientist)	N
19-3092.00	Research Coordinator	N
19-3092.00	Scientist	N
19-3093.00	Administrative Volunteer	N
19-3093.00	County Historian	N
19-3093.00	County Records Management Officer (County RMO)	N
19-3093.00	Historian	Y
19-3093.00	Historic Interpreter	N
19-3093.00	Historic Sites Registrar	Y
19-3093.00	Historical Interpreter	N
19-3093.00	Programs Director	N
19-3093.00	Research Associate	Y
19-3093.00	Researcher	Y
19-3094.00	International Affairs Vice President	Y
19-3094.00	State-Federal Relations Deputy Director	Y
19-3094.00	Technical Director	Y
19-3099.01	Planner	Y
19-3099.01	Planning Director	Y
19-3099.01	Seaport Planning Manager	Y
19-3099.01	Transit Planning Director	N
19-3099.01	Transportation Planner	Y
19-4011.01	Agricultural Research Technician	Y
19-4011.01	Agricultural Research Technologist	N
19-4011.01	Agricultural Technician	N
19-4011.01	Laboratory Technician (Lab Tech)	Y
19-4011.01	Research Assistant	N
19-4011.01	Research Associate	Y
19-4011.01	Research Specialist	N
19-4011.01	Research Technician	N
19-4011.01	Seed Analyst	Y
19-4011.01	Senior Agricultural Assistant	N
19-4011.02	Central Lab Technician (CLT)	Y
19-4011.02	Food Science Technician	N
19-4011.02	Lab Tech (Laboratory Technician)	Y
19-4011.02	Laboratory Assistant (Lab Assistant)	N
19-4011.02	Operations Technician	N
19-4011.02	Quality Analyst	N
19-4011.02	Quality Assurance Analyst (QA Analyst)	Y
19-4011.02	Quality Control Technician (QC Technician)	Y
19-4011.02	Quality Technician	N
19-4011.02	Technical Services Analyst	N
19-4021.00	Biological Science Laboratory Technician	Y
19-4021.00	Biological Technician	Y
19-4021.00	Environmental Technician	N
19-4021.00	Laboratory Technician	Y
19-4021.00	Research Assistant	N
19-4021.00	Research Associate	Y
19-4021.00	Research Specialist	N
19-4021.00	Research Technician	N
19-4021.00	Resource Biologist	N
19-4021.00	Wildlife Biology Technician	N
19-4031.00	Chemical Analyst	Y
19-4031.00	Chemical Technician	Y
19-4031.00	Formulation Technician	N
19-4031.00	Laboratory Analyst (Lab Analyst)	Y
19-4031.00	Laboratory Technician (Lab Tech)	Y
19-4031.00	Laboratory Tester (Lab Tester)	N
19-4031.00	Organic Preparation Analyst (Organic Prep Analyst)	N
19-4031.00	Quality Control Technician (QC Technician)	N
19-4031.00	Research Technician	N
19-4031.00	Water Quality Technician	N
19-4041.01	Exploration Manager	N
19-4041.01	Field Engineer	Y
19-4041.01	Geological E-Logger	N
19-4041.01	Geological Technician	Y
19-4041.01	Geoscience Technician	N
19-4041.01	Geoscientist	N
19-4041.01	Geotechnician	Y
19-4041.01	Observer	Y
19-4041.01	Soils Technician	N
19-4041.01	Technical Assistant	N
19-4041.02	Core Inspector	N
19-4041.02	Electron Microprobe Operator	N
19-4041.02	Environmental Field Services Technician	N
19-4041.02	Environmental Sampling Technician	N
19-4041.02	Laboratory Technician	Y
19-4041.02	Materials Technician	N
19-4041.02	Organic Section Technical Lead	Y
19-4041.02	Physical Science Technician	Y
19-4041.02	Quality Control Technician (QC Technician)	Y
19-4041.02	Research Associate	N
19-4051.01	Equipment Operator	Y
19-4051.01	Licensed Nuclear Operator	N
19-4051.01	Non-Licensed Nuclear Equipment Operator (NLO)	N
19-4051.01	Non-Licensed Nuclear Plant Operator (NLO)	N
19-4051.01	Non-Licensed Operator (NLO)	N
19-4051.01	Nuclear Auxiliary Operator	Y
19-4051.01	Nuclear Equipment Operator (NEO)	Y
19-4051.01	Nuclear Operations Specialist	N
19-4051.01	Nuclear Plant Equipment Operator	Y
19-4051.01	Operations Technician	N
19-4051.02	Chemistry Technician	N
19-4051.02	Health Physics Technician (HP Technician)	Y
19-4051.02	Nuclear Chemistry Technician	N
19-4051.02	Radiation Control Technician (Radcon Technician)	N
19-4051.02	Radiation Protection Specialist (RP Specialist)	Y
19-4051.02	Radiation Protection Technician (RP Technician)	Y
19-4051.02	Radiation Technician	N
19-4051.02	Radiochemical Technician	Y
19-4051.02	Senior Health Physics Technician	N
19-4051.02	Senior Radiation Protection Technician	N
19-4061.00	Graduate Assistant	N
19-4061.00	Graduate Research Assistant	N
19-4061.00	Project Director	N
19-4061.00	Project Manager	N
19-4061.00	Research Analyst	Y
19-4061.00	Research Assistant	Y
19-4061.00	Research Associate	Y
19-4061.00	Research Specialist	Y
19-4061.00	Social Research Assistant	N
19-4061.00	Survey Analyst	N
19-4061.01	Community Planner	Y
19-4061.01	Development and Housing Director	N
19-4061.01	Development Technician	N
19-4061.01	Engineering Technician	N
19-4061.01	Planner	Y
19-4061.01	Planning Aide	N
19-4061.01	Planning Assistant	Y
19-4061.01	Planning Intern	N
19-4061.01	Planning Technician	Y
19-4061.01	Zoning Technician	N
19-4091.00	Environmental Health Specialist	N
19-4091.00	Environmental Specialist	Y
19-4091.00	Environmental Technician	Y
19-4091.00	Industrial Pretreatment Program Specialist (IPP Specialist)	N
19-4091.00	Laboratory Specialist	Y
19-4091.00	Laboratory Technician	N
19-4091.00	Process Laboratory Specialist	Y
